"7290","2009-2010",93.1,94.3
"7300","2009-2010",95.2,94.3
"7310","2009-2010",94.7,94.3
"7320","2009-2010",94,94.3
"7330","2009-2010",94.8,94.3
"7350","2009-2010",92.5,94.3
"7360","2009-2010",93.3,94.3
"7370","2009-2010",94,94.3
"7380","2009-2010",91.9,94.3
"7390","2009-2010",91.9,94.3
"7400","2009-2010",94.5,94.3
"7430","2009-2010",91.7,94.3
"7440","2009-2010",94.6,94.3
"7460","2009-2010",93.5,94.3
"7470","2009-2010",94.9,94.3
"7490","2009-2010",94.2,94.3
"7500","2009-2010",93.7,94.3
"7510","2009-2010",95,94.3
"7530","2009-2010",93.5,94.3
"7730","2009-2010",92.3,94.3
"8010","2009-2010",94.9,94.3
"8020","2009-2010",93.5,94.3
"8030","2009-2010",93.1,94.3
"8040","2009-2010",97.5,94.3
"8090","2009-2010",93.7,94.3
"8120","2009-2010",96,94.3
"8140","2009-2010",95.8,94.3
"8160","2009-2010",95.2,94.3
"8180","2009-2010",94.3,94.3
"8200","2009-2010",92.3,94.3
"8210","2009-2010",93.7,94.3
"8230","2009-2010",96.8,94.3
"8240","2009-2010",91.8,94.3
"8250","2009-2010",94.7,94.3
"8260","2009-2010",96.6,94.3
"8270","2009-2010",92.2,94.3
"8300","2009-2010",97.1,94.3
"8310","2009-2010",91,94.3
"8320","2009-2010",92.7,94.3
"8340","2009-2010",96,94.3
"8350","2009-2010",93.2,94.3
"8360","2009-2010",96.1,94.3
"8370","2009-2010",96,94.3
"8380","2009-2010",93.2,94.3
"8390","2009-2010",93.6,94.3
"8400","2009-2010",92.5,94.3
"8410","2009-2010",91.3,94.3
"8420","2009-2010",95.5,94.3
"8430","2009-2010",96.4,94.3
"8440","2009-2010",91.6,94.3
"1010","2008-2009",94,94.3
"1020","2008-2009",93.3,94.3
"1030","2008-2009",96.1,94.3
"1050","2008-2009",92.3,94.3
"1060","2008-2009",96.2,94.3
"1080","2008-2009",93.5,94.3
"1100","2008-2009",90.7,94.3
"1110","2008-2009",96.5,94.3
"1130","2008-2009",89.1,94.3
"1150","2008-2009",95.2,94.3
"1190","2008-2009",98.7,94.3
"1200","2008-2009",93.7,94.3
"1230","2008-2009",95,94.3
"1250","2008-2009",96.8,94.3
"1260","2008-2009",91.1,94.3
"1280","2008-2009",97,94.3
"1290","2008-2009",95,94.3
"1300","2008-2009",97.4,94.3
"1330","2008-2009",93,94.3
"1340","2008-2009",95.7,94.3
"1350","2008-2009",92.6,94.3
"1360","2008-2009",93,94.3
"1370","2008-2009",96.9,94.3
"1380","2008-2009",94.4,94.3
"1390","2008-2009",95.2,94.3
"1400","2008-2009",92.7,94.3
"1410","2008-2009",92,94.3
"1420","2008-2009",96.7,94.3
"1430","2008-2009",88.3,94.3
"1440","2008-2009",95.3,94.3
"1460","2008-2009",96,94.3
"1470","2008-2009",95.2,94.3
"1490","2008-2009",95.9,94.3
"1530","2008-2009",94.4,94.3
"1580","2008-2009",91.1,94.3
"2000","2008-2009",96.2,94.3
"2010","2008-2009",94.2,94.3
"2020","2008-2009",93.5,94.3
"2090","2008-2009",92.6,94.3
"2130","2008-2009",96.2,94.3
"2140","2008-2009",96.9,94.3
"2160","2008-2009",89.4,94.3
"2190","2008-2009",94.1,94.3
"2200","2008-2009",88.5,94.3
"2210","2008-2009",92.6,94.3
"2240","2008-2009",93.5,94.3
"2260","2008-2009",96.4,94.3
"2290","2008-2009",96.1,94.3
"2320","2008-2009",93.2,94.3
"2340","2008-2009",95,94.3
"2370","2008-2009",94.7,94.3
"2380","2008-2009",95.5,94.3
"2390","2008-2009",96.9,94.3
"2410","2008-2009",92.4,94.3
"2420","2008-2009",95.8,94.3
"2440","2008-2009",91.8,94.3
"2450","2008-2009",95.5,94.3
"2470","2008-2009",93.7,94.3
"2480","2008-2009",93.7,94.3
"2490","2008-2009",93.5,94.3
"2510","2008-2009",93.7,94.3
"2520","2008-2009",97.6,94.3
"2540","2008-2009",95.3,94.3
"2580","2008-2009",98.1,94.3
"2590","2008-2009",96.8,94.3
"2620","2008-2009",97.2,94.3
"2630","2008-2009",93.9,94.3
"2640","2008-2009",94.6,94.3
"2650","2008-2009",92.8,94.3
"2670","2008-2009",96.5,94.3
"2690","2008-2009",92.7,94.3
"2720","2008-2009",94.9,94.3
"2730","2008-2009",95,94.3
"4020","2008-2009",94.9,94.3
"4030","2008-2009",96.9,94.3
"4060","2008-2009",89.4,94.3
"4100","2008-2009",91.2,94.3
"4140","2008-2009",93.2,94.3
"4150","2008-2009",95.9,94.3
"4220","2008-2009",92.1,94.3
"4240","2008-2009",92.7,94.3
"4270","2008-2009",97,94.3
"4280","2008-2009",95.7,94.3
"4300","2008-2009",91.2,94.3
"4310","2008-2009",96.3,94.3
"4320","2008-2009",95.7,94.3
"4330","2008-2009",96.2,94.3
"4370","2008-2009",94.4,94.3
"4380","2008-2009",95.1,94.3
"4390","2008-2009",92.2,94.3
"4400","2008-2009",93.2,94.3
"4430","2008-2009",94.6,94.3
"4440","2008-2009",94.7,94.3
"4450","2008-2009",95.6,94.3
"4460","2008-2009",95.2,94.3
"4470","2008-2009",95.6,94.3
"4480","2008-2009",93.9,94.3
"4530","2008-2009",96.1,94.3
"4560","2008-2009",95,94.3
"4570","2008-2009",95.4,94.3
"5020","2008-2009",93.8,94.3
"5050","2008-2009",96,94.3
"5060","2008-2009",94.7,94.3
"5070","2008-2009",91.8,94.3
"5080","2008-2009",96.6,94.3
"5090","2008-2009",95.1,94.3
"5110","2008-2009",89.8,94.3
"5150","2008-2009",95.5,94.3
"5170","2008-2009",94.5,94.3
"5200","2008-2009",98,94.3
"5210","2008-2009",93.5,94.3
"5230","2008-2009",95.1,94.3
"5240","2008-2009",94,94.3
"5250","2008-2009",95,94.3
"5260","2008-2009",95.6,94.3
"5280","2008-2009",92.3,94.3
"5290","2008-2009",95.9,94.3
"5300","2008-2009",94.7,94.3
"5320","2008-2009",95.1,94.3
"5330","2008-2009",93.5,94.3
"5340","2008-2009",97.4,94.3
"5350","2008-2009",92.5,94.3
"5370","2008-2009",96.5,94.3
"5390","2008-2009",95,94.3
"5400","2008-2009",96.5,94.3
"5410","2008-2009",93.9,94.3
"5420","2008-2009",97,94.3
"5430","2008-2009",95.8,94.3
"5440","2008-2009",97,94.3
"5450","2008-2009",97.1,94.3
"5470","2008-2009",93,94.3
"5480","2008-2009",95.7,94.3
"5490","2008-2009",95,94.3
"5500","2008-2009",94.1,94.3
"5510","2008-2009",92.9,94.3
"5520","2008-2009",96.4,94.3
"5530","2008-2009",89.9,94.3
"5550","2008-2009",97.2,94.3
"5560","2008-2009",96.5,94.3
"5590","2008-2009",95.4,94.3
"5650","2008-2009",96.9,94.3
"5680","2008-2009",94,94.3
"6010","2008-2009",96.5,94.3
"6020","2008-2009",93.1,94.3
"6030","2008-2009",93.9,94.3
"6040","2008-2009",93,94.3
"6050","2008-2009",91.3,94.3
"6060","2008-2009",94.6,94.3
"6070","2008-2009",95.7,94.3
"6090","2008-2009",95.4,94.3
