"4400","2010-2011",21,0,0,0,0
"6010","2010-2011",8,4,0,3,0
"6440","2010-2011",2,0,0,1,0
"2450","2010-2011",2,0,1,1,1
"2010","2010-2011",15,4,0,1,1
"4470","2010-2011",2,0,0,1,0
"1350","2010-2011",6,1,0,1,1
"6460","2010-2011",1,0,0,0,0
"7440","2010-2011",2,0,0,0,2
"6110","2010-2011",10,4,0,1,0
"2480","2010-2011",1,1,0,0,0
"6220","2010-2011",8,0,0,2,0
"4030","2010-2011",7,1,0,0,0
"2490","2010-2011",2,1,0,0,0
"2540","2010-2011",0,0,0,0,0
"1420","2010-2011",4,1,0,0,1
"1470","2010-2011",8,0,0,2,0
"8350","2010-2011",7,1,0,2,0
"5410","2009-2010",0,0,0,0,0
"5450","2009-2010",15,4,0,1,1
"7130","2009-2010",6,1,0,3,0
"8010","2009-2010",59,9,1,11,3
"1250","2009-2010",6,0,0,1,1
"6200","2009-2010",2,0,0,1,0
"6230","2009-2010",3,0,0,1,0
"2440","2009-2010",3,0,1,0,0
"2450","2009-2010",5,1,0,0,0
"5520","2009-2010",9,1,0,4,0
"8370","2008-2009",4,0,0,1,0
"4300","2009-2010",11,0,2,4,0
"2480","2009-2010",4,0,0,0,0
"5070","2009-2010",2,0,0,0,0
"6280","2009-2010",7,1,0,1,0
"7200","2009-2010",6,0,0,0,0
"5200","2009-2010",16,0,0,0,0
"8090","2009-2010",9,4,0,4,4
"5260","2010-2011",6,1,0,1,0
"5300","2010-2011",1,0,0,3,0
"8160","2009-2010",3,2,0,2,0
"8200","2009-2010",18,0,1,3,0
"6300","2009-2010",4,0,0,0,0
"2140","2009-2010",0,2,0,0,0
"5340","2010-2011",3,0,0,0,0
"8260","2010-2011",1,0,0,0,0
"8310","2010-2011",8,0,0,1,0
"8320","2010-2011",3,0,0,0,0
"4440","2009-2010",12,0,0,1,0
"5280","2009-2010",16,0,1,0,1
"8210","2009-2010",3,0,1,1,0
"8240","2009-2010",12,2,0,3,1
"1330","2009-2010",8,0,0,2,0
"6340","2009-2010",10,0,0,6,0
"7360","2009-2010",1,1,0,0,0
"8160","2010-2011",5,3,1,4,0
"8200","2010-2011",20,0,1,2,1
"6380","2009-2010",6,0,1,1,0
"2210","2009-2010",4,0,0,1,0
"1020","2009-2010",16,5,0,2,0
"2630","2009-2010",5,1,0,0,0
"6390","2009-2010",6,0,0,2,0
"4480","2009-2010",4,0,1,0,0
"5290","2009-2010",9,0,0,3,0
"1340","2009-2010",12,1,0,0,0
